,date,user,activity,timestamp,x-axis,y-axis,z-axis
0,1970-01-01 00:01:13.000,35,Standing,73452342000.0,2.03,9.47,2.91
1,1970-01-01 00:01:13.500,35,Standing,73502330000.0,2.15,9.3,2.83
2,1970-01-01 00:01:14.000,35,Standing,74002299000.0,2.26,9.43,2.79
3,1970-01-01 00:01:14.500,35,Standing,74502360000.0,2.3,9.38,2.76
4,1970-01-01 00:01:15.000,35,Standing,75102336000.0,2.34,9.38,2.83
5,1970-01-01 00:01:15.500,35,Standing,75512309000.0,2.37,9.34,2.87
6,1970-01-01 00:01:16.000,35,Standing,76012279000.0,2.37,9.38,2.87
7,1970-01-01 00:01:16.500,35,Standing,76512309000.0,2.45,9.3,2.91
8,1970-01-01 00:01:17.000,35,Standing,77012340000.0,2.53,9.3,2.96
9,1970-01-01 00:01:17.500,35,Standing,77512309000.0,2.45,9.34,2.83
10,1970-01-01 00:01:18.000,35,Standing,78012340000.0,2.34,9.28,2.79
11,1970-01-01 00:01:18.500,35,Standing,78512340000.0,2.37,9.43,2.83
12,1970-01-01 00:01:19.000,35,Standing,79012340000.0,2.34,9.38,2.79
13,1970-01-01 00:01:19.500,35,Standing,79582316000.0,2.22,9.38,2.76
14,1970-01-01 00:01:20.000,35,Standing,80042583000.0,2.34,9.38,2.83
15,1970-01-01 00:01:20.500,35,Standing,80542308000.0,2.34,9.38,2.83
16,1970-01-01 00:01:21.000,35,Standing,81002330000.0,2.45,9.34,2.83
17,1970-01-01 00:01:21.500,35,Standing,81502330000.0,2.37,9.34,2.72
18,1970-01-01 00:01:22.000,35,Standing,82002330000.0,2.26,9.43,2.76
19,1970-01-01 00:01:22.500,35,Standing,82502330000.0,2.49,9.3,2.83
21,1970-01-01 00:01:23.500,35,Standing,83512309000.0,2.79,9.23,2.96
22,1970-01-01 00:01:24.000,35,Standing,84012309000.0,2.68,9.23,2.91
23,1970-01-01 00:01:24.500,35,Standing,84512309000.0,2.64,9.34,2.83
24,1970-01-01 00:01:25.000,35,Standing,85012309000.0,2.64,9.34,2.87
25,1970-01-01 00:01:25.500,35,Standing,85512309000.0,2.68,9.23,2.76
26,1970-01-01 00:01:26.000,35,Standing,86012279000.0,2.6,9.28,2.91
27,1970-01-01 00:01:26.500,35,Standing,86512340000.0,2.53,9.3,2.83
28,1970-01-01 00:01:27.000,35,Standing,87012309000.0,2.56,9.3,2.79
29,1970-01-01 00:01:27.500,35,Standing,87562297000.0,2.53,9.34,2.79
30,1970-01-01 00:01:28.000,35,Standing,88012309000.0,2.56,9.34,2.87
31,1970-01-01 00:01:28.500,35,Standing,88542338000.0,2.56,9.34,2.79
32,1970-01-01 00:01:29.000,35,Standing,89092326000.0,2.53,9.38,2.79
33,1970-01-01 00:01:29.500,35,Standing,89542338000.0,2.45,9.38,2.72
34,1970-01-01 00:01:30.000,35,Standing,90042949000.0,2.41,9.34,2.72
35,1970-01-01 00:01:30.500,35,Standing,90542338000.0,2.49,9.34,2.79
36,1970-01-01 00:01:31.000,35,Standing,91012309000.0,2.49,9.34,2.87
37,1970-01-01 00:01:31.500,35,Standing,91512309000.0,2.6,9.3,2.87
38,1970-01-01 00:01:32.000,35,Standing,92012309000.0,2.53,9.34,2.79
39,1970-01-01 00:01:32.500,35,Standing,92562266000.0,2.53,9.38,2.76
40,1970-01-01 00:01:33.000,35,Standing,93012309000.0,2.53,9.34,2.72
42,1970-01-01 00:01:34.000,35,Standing,94012340000.0,2.64,9.28,3.15
43,1970-01-01 00:01:34.500,35,Standing,94512309000.0,2.72,9.23,3.06
44,1970-01-01 00:01:35.000,35,Standing,95012340000.0,2.64,9.3,3.02
45,1970-01-01 00:01:35.500,35,Standing,95532329000.0,2.56,9.3,2.91
